Country,Exchange Name,Thomson Reuters Symbol,Google Finance Symbol,Yahoo! Finance Symbol,Time Zone,GMT+-,Pre-Market,Market Session,Post-Market,Currency (Code)
Botswana,Botswana Stock Exchange,GB,BOT,,Central Africa Time (CAT),2,,09:30 - 10:30,,Botswana Pula (BWP)
Ghana,Ghana Stock Exchange,GH,GHA,,Greenwich Mean Time (GMT),0,09:30 - 10:00,10:00 - 12:00,,Ghanaian Cedi (GHS)
Kenya,Nairobi Stock Exchange,NR,NBO,,East Africa Time (EAT),3,09:00 - 09:30,09:30 - 15:00,,Kenyan Shilling (KES)
Malawi,Malawi Stock Exchange,MV,MAL,,Central Africa Time (CAT),2,,,,Kwacha (MWK)
Morocco,Casablanca Stock Exchange,CL,CAS,,Greenwich Mean Time (GMT),0,,,,Moroccan Dirham (MAD)
Nigeria,Nigerian Stock Exchange,LA,NIG,,West Africa Time (WAT),1,,,,Nigerian Naira (NGN)
South Africa,JSE Securities Exchange,JO,JNB,,South African Standard Time (SAST),2,,09:00 - 17:00,,South African Rand (ZAR)
Zambia,Lusaka Stock Exchange,LZ,LUS,,Central Africa Time (CAT),2,,,,Zambian Kwacha (ZMK)
Zimbabwe,Zimbabwe Stock Exchange,ZB,ZIM,,Central Africa Time (CAT),2,,,,Zimbabwean Dollar (ZWD)
Australia,Australian Securities Exchange,AU,ASX,.AX,Australian Eastern Standard Time (AEST),10,07:00 - 10:00,10:00 - 16:00,16:00 - 19:00,Australian Dollar (AUD)
Australia,Chi-X Australia,,,,Australian Eastern Standard Time (AEST),10,07:00 - 10:00,10:00 - 16:00,16:00 - 19:00,Australian Dollar (AUD)
Bangladesh,Dhaka Stock Exchange,DH,,,Bangladesh Time (BDT),6,,10:00 - 14:00,,Bangladeshi Taka (BDT)
"China, People's Republic of",Hong Kong Stock Exchange,HK,HKG,.HK,Hong Kong Time (HKT),8,09:00 - 09:30,09:30 - 16:00,,Hong Kong Dollar (HKD)
,Shanghai Stock Exchange,SH,SHA,.SS,China Standard Time (CST),8,09:15 - 09:25,09:30 - 15:00,,Chinese Renminbi (CNY)
,Shenzhen Stock Exchange,SZ,SHE,.SZ,China Standard Time (CST),8,09:15 - 09:25,09:30 - 15:00,,Chinese Renminbi (CNY)
India,National Stock Exchange of India,IN,NSE,.NS,Indian Standard Time (IST),5:30,,09:00 - 15:30,15:50 - 16:00,Indian Rupee (INR)
,Bombay Stock Exchange,BY,BSE,.BO,Indian Standard Time (IST),5:30,,09:00 - 15:30,,Indian Rupee (INR)
Indonesia,Indonesia Stock Exchange,JK,JAK,.JK,Indonesian Western Standard Time (WIB),7,09:10 - 09:29,09:30 - 16:00,,Indonesian Rupiah (IDR)
Japan,Fukuoka Stock Exchange,FU,FUK,,Japan Standard Time (JST),9,,,,Japanese Yen (JPY)
,Hercules Stock Exchange,HQ,NJM,,Japan Standard Time (JST),9,,,,Japanese Yen (JPY)
,JASDAQ Securities Exchange,JA,JSD,,Japan Standard Time (JST),9,08:00 - 09:00,09:00 - 15:00,,Japanese Yen (JPY)
,Nagoya Stock Exchange,NY,NAG,,Japan Standard Time (JST),9,,09:00 - 15:30,,Japanese Yen (JPY)
